dominio;documento;nome;uf;cidade;cep;data_cadastro;ultima_atualizacao;ticket
emgea.gov.br;004.527.335/0001-13;Empresa Gestora de Ativos - EMGEA;DF;Brasília;70070-902;2001-09-10 12:15:38;2020-05-08 19:47:13;633340
aleam.gov.br;004.530.820/0001-46;ASSEMBLEIA LEGISLATIVA DO ESTADO DO AMAZONAS;AM;MANAUS;69005-140;2000-11-13 17:30:54;2020-05-05 20:44:06;453845
tre-ro.gov.br;004.565.735/0001-13;Tribunal Regional Eleitoral de Rondônia;RO;Porto Velho;78900-550;1998-08-05 19:21:59;2015-01-08 21:17:03;108620
creci-pa.gov.br;004.574.646/0001-33;Conselho Regional de Corretores de Imóveis;PA;Belém;66095-531;2002-08-26 12:50:25;2020-05-05 20:44:17;946320
creci-am.gov.br;004.619.672/0001-30;CONSELHO REG DE CORRETORES DE IMOVEIS DO AMAZONAS;AM;Manaus;69053-100;2013-06-06 20:19:13;2020-05-05 20:44:15;11537616
corenam.gov.br;004.667.846/0001-30;CONSELHO REGIONAL DE ENFERMAGEM DO AMAZONAS;AM;Manaus;69060-000;2015-03-16 14:37:42;2020-05-05 20:44:13;13948456
crmvpaap.gov.br;004.798.070/0001-98;Conselho Regional de Medicina Veterinaria Para;PA;Belém;66085-823;2001-02-06 19:19:33;2020-05-05 20:44:25;498670
ro.gov.br;004.798.328/0001-56;Diretoria E. de Tecnologia da Informação DETIC/RO;RO;Porto Velho;76801-470;1997-03-04 12:00:00;2019-08-02 18:02:45;0
cenpra.gov.br;004.822.500/0001-60;Centro de Tecnologia da Informação Renato Archer;SP;Campinas;13069-901;2002-01-11 12:47:29;2020-02-06 11:08:30;703453
certics.gov.br;004.822.500/0001-60;Centro de Tecnologia da Informação Renato Archer;SP;Campinas;13069-901;2012-09-17 10:37:17;2017-05-09 18:15:29;10433403
ci-brasil.gov.br;004.822.500/0001-60;Centro de Tecnologia da Informação Renato Archer;SP;Campinas;13069-901;2007-12-05 18:49:00;2020-05-05 20:44:25;4101340
cti.gov.br;004.822.500/0001-60;Centro de Tecnologia da Informação Renato Archer;SP;Campinas;13069-901;2008-07-22 11:07:44;2017-05-09 18:16:12;4633687
ic-brazil.gov.br;004.822.500/0001-60;Centro de Tecnologia da Informação Renato Archer;SP;Campinas;13069-901;2007-12-05 18:49:00;2017-05-09 18:16:41;4101337
ancine.gov.br;004.884.574/0001-20;Agencia Nacional do Cinema;DF;Brasília;70340-901;2002-02-27 17:38:26;2016-09-20 15:47:58;739426
dnit.gov.br;004.892.707/0001-00;DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPOR;DF;Brasília;70040-902;2002-04-10 17:42:58;2020-04-15 14:14:09;761929
antt.gov.br;004.898.488/0001-77;Agência Nacional de Transportes Terrestres;DF;Brasília;70200-003;2002-04-15 11:34:13;2020-05-05 20:44:09;783416
antaq.gov.br;004.903.587/0001-08;AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS;DF;Brasília;70760-545;2002-03-12 12:46:43;2020-05-05 20:44:17;751032
crea-ro.gov.br;004.920.948/0001-16;Conselho Regional de Engenharia e Agronomia de RO;RO;Porto Velho;76803-903;2009-10-02 19:55:50;2020-05-05 20:44:16;6002407
crearo.gov.br;004.920.948/0001-16;Conselho Regional de Engenharia e Agronomia de RO;RO;Porto Velho;76803-903;2009-09-14 14:14:42;2020-05-05 20:44:19;5954372
sudam.gov.br;004.931.713/0001-20;Superintedência de Denvolvimento da Amazônia;PA;Belém;66093-020;1997-08-13 12:00:00;2020-04-23 16:57:40;51749
cft.gov.br;005.032.746/0001-09;Conselho de Teologos do Brasil - Coteb;RJ;Rio de Janeiro;20230-014;2011-09-27 18:22:43;2020-05-05 20:44:24;8860780
pa.gov.br;005.054.861/0001-76;PRODEPA - Emp Tec da Inf e Com do Estado do Pará;PA;Belém;66820-000;1997-06-02 12:00:00;2019-11-29 15:17:33;0
prodepa.gov.br;005.059.613/0001-18;PRODEPA - Processamento de Dados do Pará;PA;Belém;66820-000;1996-05-08 12:00:00;2013-10-10 01:08:25;7566
jfpr.gov.br;005.420.123/0001-03;Justiça Federal de Primeiro Grau no Parana;PR;Curitiba;80540-180;1999-07-17 16:48:56;2019-06-26 19:33:44;173238
jfes.gov.br;005.424.467/0001-82;Justiça Federal de 1º Grau no Espírito Santo;ES;Vitória;29053-245;2007-06-04 17:32:14;2019-10-15 17:42:04;3637470
jfceara.gov.br;005.424.487/0001-53;JUSTICA FED DE PRIM INST SECAO JUD DO CEARA;CE;Fortaleza;60035-210;2003-09-22 14:18:13;2020-05-05 20:44:13;1368198
jfrj.gov.br;005.424.540/0001-16;JUSTICA FEDERAL DE PRIMEIRO GRAU NO RIO DE JANEIRO;RJ;Rio de Janeiro;20081-000;1997-09-19 12:00:00;2020-05-04 21:00:29;58721
jfsc.gov.br;005.427.319/0001-11;Justica Federal de Primeiro Grau em Santa Catarina;SC;Florianópolis;88025-255;2000-01-27 13:13:23;2017-12-19 17:26:05;245517
eproc-pr.gov.br;005.442.380/0001-38;Justica Federal de Primeiro Grau no RS;RS;Porto Alegre;90010-395;2003-08-05 11:52:44;2017-11-24 17:44:04;1289181
eproc-rs.gov.br;005.442.380/0001-38;Justica Federal de Primeiro Grau no RS;RS;Porto Alegre;90010-395;2003-08-05 11:52:44;2017-11-24 17:44:10;1289185
eproc-sc.gov.br;005.442.380/0001-38;Justica Federal de Primeiro Grau no RS;RS;Porto Alegre;90010-395;2003-08-05 11:52:44;2017-11-24 17:44:17;1289184
eproc.gov.br;005.442.380/0001-38;Justica Federal de Primeiro Grau no RS;RS;Porto Alegre;90010-395;2003-08-05 11:52:44;2017-11-24 17:44:23;1289174
jef-pr.gov.br;005.442.380/0001-38;Justica Federal de Primeiro Grau no RS;RS;Porto Alegre;90010-395;2003-08-05 12:07:46;2017-11-24 17:44:32;1289165
jef-rs.gov.br;005.442.380/0001-38;Justica Federal de Primeiro Grau no RS;RS;Porto Alegre;90010-395;2003-08-05 12:07:46;2017-11-24 17:44:39;1289172
jef-sc.gov.br;005.442.380/0001-38;Justica Federal de Primeiro Grau no RS;RS;Porto Alegre;90010-395;2003-08-05 12:07:46;2019-01-02 16:14:36;1289171
jfrs.gov.br;005.442.380/0001-38;Justica Federal de Primeiro Grau no RS;RS;Porto Alegre;90010-395;1999-12-14 17:36:02;2020-05-05 20:44:25;224620
peticaoeletronica.gov.br;005.442.380/0001-38;Justica Federal de Primeiro Grau no RS;RS;Porto Alegre;90010-395;2003-01-02 12:17:30;2017-11-24 17:45:07;1044451
sjrs.gov.br;005.442.380/0001-38;Justica Federal de Primeiro Grau no RS;RS;Porto Alegre;90010-395;1998-10-26 17:07:51;2017-11-24 17:45:15;121928
bemrecebercopa.gov.br;005.457.283/0002-08;Ministério do Turismo;DF;Brasília;70040-010;2010-05-26 13:50:56;2020-01-09 18:49:42;6815823
mtur.gov.br;005.457.283/0002-08;Ministério do Turismo;DF;Brasília;70040-010;2003-01-16 11:26:33;2020-01-09 18:49:42;1066494
olaturista.gov.br;005.457.283/0002-08;Ministério do Turismo;DF;Brasília;70040-010;2009-09-29 12:23:26;2020-01-09 18:49:42;6006082
turismo.gov.br;005.457.283/0002-08;Ministério do Turismo;DF;Brasília;70040-010;2003-01-15 17:48:29;2020-01-09 18:49:42;1070851
turismoacessivel.gov.br;005.457.283/0002-08;Ministério do Turismo;DF;Brasília;70040-010;2014-02-27 14:36:40;2014-02-27 14:36:40;12566429
turismobrasil.gov.br;005.457.283/0002-08;Ministério do Turismo;DF;Brasília;70040-010;2007-12-24 11:29:17;2020-01-09 18:49:42;4131446
viajamais.gov.br;005.457.283/0002-08;Ministério do Turismo;DF;Brasília;70040-010;2013-07-29 18:30:21;2014-09-20 22:12:36;11775765
cidades.gov.br;005.465.986/0001-99;Ministério das Cidades;DF;Brasília;70070-010;2003-02-19 18:46:24;2020-05-05 20:44:19;1110118
pmss.gov.br;005.465.986/0001-99;Ministério das Cidades;DF;Brasília;70070-010;2001-09-10 11:14:56;2020-05-05 20:44:17;627941
snis.gov.br;005.465.986/0001-99;Ministério das Cidades;DF;Brasília;70070-010;2001-09-10 11:14:55;2020-05-05 20:44:17;624275
desaparecidos.gov.br;005.478.625/0001-87;Secretaria de Direitos Humanos;DF;Brasília;70308-200;2012-02-14 09:55:39;2020-04-17 21:13:16;9414210
direitosdacrianca.gov.br;005.478.625/0001-87;Secretaria de Direitos Humanos;DF;Brasília;70308-200;2014-05-19 13:12:00;2020-04-17 21:13:57;12854581
direitoshumanos.gov.br;005.478.625/0001-87;Secretaria de Direitos Humanos;DF;Brasília;70308-200;2008-04-10 16:13:02;2020-04-17 21:14:19;4331632
disque100.gov.br;005.478.625/0001-87;Secretaria de Direitos Humanos;DF;Brasília;70308-200;2010-06-07 12:00:46;2020-04-17 21:14:55;6924086
humanizaredes.gov.br;005.478.625/0001-87;Secretaria de Direitos Humanos;DF;Brasília;70308-200;2015-03-30 17:35:13;2020-04-17 21:15:15;14006177
pessoacomdeficiencia.gov.br;005.478.625/0001-87;Secretaria de Direitos Humanos;DF;Brasília;70308-200;2010-10-29 18:04:08;2020-04-17 21:17:36;7492842
sdh.gov.br;005.478.625/0001-87;Secretaria de Direitos Humanos;DF;Brasília;70308-200;2010-12-01 18:41:08;2020-04-17 21:17:18;7553676
sedh.gov.br;005.478.625/0001-87;Secretaria de Direitos Humanos;DF;Brasília;70308-200;2003-07-17 11:07:59;2020-04-17 21:17:05;1268815
sipia.gov.br;005.478.625/0001-87;Secretaria de Direitos Humanos;DF;Brasília;70308-200;2011-09-30 16:35:51;2020-04-17 21:16:31;8862007
preps.gov.br;005.482.692/0001-75;Ministério da Agricultura, Pecuaria e Abasteciment;DF;Brasília;70043-900;2006-05-29 17:17:58;2020-05-05 20:44:17;2820376
renaqua.gov.br;005.482.692/0001-75;Ministério da Agricultura, Pecuaria e Abasteciment;DF;Brasília;70043-900;2014-09-17 20:40:37;2020-05-05 20:44:18;13294206
mulheres.gov.br;005.510.958/0001-46;Secretaria Especial de Politícas para as Mulheres;DF;BRASILIA;70064-900;2010-01-13 14:04:12;2020-02-04 17:24:13;6426224
politicasmulheres.gov.br;005.510.958/0001-46;Secretaria Especial de Politícas para as Mulheres;DF;BRASILIA;70064-900;2010-01-13 14:04:12;2020-02-04 17:25:01;6426226
spm.gov.br;005.510.958/0001-46;Secretaria Especial de Politícas para as Mulheres;DF;BRASILIA;70064-900;2010-05-26 13:50:57;2020-01-23 20:42:14;6887059
assistenciasocial.gov.br;005.756.246/0001-01;SUBSEC. DE ASSUNTOS ADMIN. DO MIN. DA CIDADANIA;DF;Brasília;70040-902;2002-11-18 12:32:35;2020-05-11 21:04:02;1005833
brasilsaudavelesustentavel.gov.br;005.756.246/0001-01;SUBSEC. DE ASSUNTOS ADMIN. DO MIN. DA CIDADANIA;DF;Brasília;70040-902;2015-04-29 19:03:31;2020-05-11 21:07:50;14074511
caisan.gov.br;005.756.246/0001-01;SUBSEC. DE ASSUNTOS ADMIN. DO MIN. DA CIDADANIA;DF;Brasília;70040-902;2014-05-14 15:19:06;2020-05-11 21:10:27;12820961
coletasolidaria.gov.br;005.756.246/0001-01;SUBSEC. DE ASSUNTOS ADMIN. DO MIN. DA CIDADANIA;DF;Brasília;70040-902;2007-12-13 14:16:42;2020-05-05 20:44:09;4117825
combateafome.gov.br;005.756.246/0001-01;SUBSEC. DE ASSUNTOS ADMIN. DO MIN. DA CIDADANIA;DF;Brasília;70040-902;2012-09-28 17:27:21;2020-05-11 21:16:23;10499645
comprasagriculturafamiliar.gov.br;005.756.246/0001-01;SUBSEC. DE ASSUNTOS ADMIN. DO MIN. DA CIDADANIA;DF;Brasília;70040-902;2016-02-05 17:57:43;2020-05-11 21:16:59;15166912
desenvolvimentosocial.gov.br;005.756.246/0001-01;SUBSEC. DE ASSUNTOS ADMIN. DO MIN. DA CIDADANIA;DF;Brasília;70040-902;2004-03-23 15:06:49;2020-05-11 21:17:27;1580366
fimdotrabalhoinfantil.gov.br;005.756.246/0001-01;SUBSEC. DE ASSUNTOS ADMIN. DO MIN. DA CIDADANIA;DF;Brasília;70040-902;2012-05-17 20:17:14;2020-05-11 21:18:11;9892296
mds.gov.br;005.756.246/0001-01;SUBSEC. DE ASSUNTOS ADMIN. DO MIN. DA CIDADANIA;DF;Brasília;70040-902;2004-05-06 14:40:29;2020-05-11 21:18:38;1630325
cidadania.gov.br;005.756.246/0004-54;CGLC DO MINISTERIO DA CIDADANIA;DF;Brasília;70040-902;2000-10-25 12:50:30;2020-05-11 21:11:12;448648
crecima.gov.br;005.760.772/0001-45;CONSELHO REGIONAL DE CORRETORES DE IMÓVEIS - MA;MA;São Luís;65071-670;2017-03-13 14:14:18;2020-05-05 20:44:20;16705467
tre-mt.gov.br;005.901.308/0001-21;Tribunal Regional Eleitoral de Mato Grosso;MT;Cuiabá;78050-000;1998-08-07 17:06:35;2015-01-08 21:12:35;106451
creciro.gov.br;005.968.813/0001-93;CONSELHO REGIONAL DE CORRETORES DE IMOVEIS 24 REG;RO;Porto Velho;76803-749;2015-02-24 14:42:47;2020-05-05 20:44:19;13884579
seppir.gov.br;006.064.438/0001-10;SECRETARIA ESPECIAL DE POLITICAS DE PROMOCAO DA IG;DF;Brasília;70054-906;2010-05-10 13:09:05;2020-05-05 20:44:15;6837324
pe.gov.br;006.067.608/0001-10;AGENCIA ESTADUAL DE TECNOLOGIA DA INFORMACAO - ATI;PE;Recife;50020-080;1996-07-10 12:00:00;2020-05-07 20:57:45;11446
pernambuco.gov.br;006.067.608/0001-10;AGENCIA ESTADUAL DE TECNOLOGIA DA INFORMACAO - ATI;PE;Recife;50020-080;1999-03-05 19:45:42;2020-05-07 20:58:58;145277
tre-rj.gov.br;006.170.517/0001-05;Tribunal Regional Eleitoral do Rio de Janeiro;RJ;Rio de Janeiro;20030-021;1998-08-11 20:30:19;2017-07-24 12:46:06;108617
corenma.gov.br;006.272.868/0001-27;Conselho Regional de Enfermagem - COREN/MA;MA;São Luís;65075-690;2012-04-11 12:47:11;2012-04-11 12:47:11;9641565
crefito.gov.br;006.290.767/0001-89;Cons. Reg. de fisioterapia e terapia Ocup. da 11ª;DF;Brasília;70340-000;2016-09-27 16:58:09;2020-04-14 21:28:19;16033717
crefito11.gov.br;006.290.767/0001-89;Cons. Reg. de fisioterapia e terapia Ocup. da 11ª;DF;Brasília;70340-000;2016-09-28 12:30:06;2018-05-04 22:54:04;16134645
codomar.gov.br;006.347.892/0001-88;Codomar - Companhia Docas do Maranhao;MA;São Luís;65085-370;2012-04-03 18:58:13;2020-05-05 20:44:18;9708122
ahsul.gov.br;006.347.892/0010-79;COMPANHIA DOCAS DO MARANHAO - CODOMAR;RS;Porto Alegre;90038-900;2014-02-27 14:21:33;2020-05-12 18:03:02;12568279
coredopiaui.gov.br;006.518.666/0001-12;Conselho Regional dos Representantes Coml. do Piau;PI;Teresina;64000-090;2014-09-01 17:26:31;2020-05-05 20:44:22;13238042
epe.gov.br;006.977.747/0001-80;Empresa de Pesquisa Energética;RJ;Rio de Janeiro;20090-003;2005-01-06 16:43:35;2016-10-27 12:08:57;1958251
sipam.gov.br;007.129.796/0001-26;Centro Gestor e Op. Sist. de Proteção da Amazonia;DF;Brasília;70610-200;2001-04-12 19:56:37;2020-05-05 20:44:14;545274
banconordeste.gov.br;007.237.373/0001-20;BANCO DO NORDESTE DO BRASIL S/A;CE;Fortaleza;60743-902;1998-02-09 12:03:19;2019-06-07 20:00:58;83925
bnb.gov.br;007.237.373/0001-20;BANCO DO NORDESTE DO BRASIL S/A;CE;Fortaleza;60743-902;1996-04-24 12:00:00;2019-11-25 20:15:25;7114
crediamigo.gov.br;007.237.373/0001-20;BANCO DO NORDESTE DO BRASIL S/A;CE;Fortaleza;60743-902;2001-05-18 19:45:53;2019-06-07 20:03:57;566336
crescenordeste.gov.br;007.237.373/0001-20;BANCO DO NORDESTE DO BRASIL S/A;CE;Fortaleza;60743-902;2004-05-03 12:33:33;2019-06-07 20:04:43;1615211
faroldodesenvolvimento.gov.br;007.237.373/0001-20;BANCO DO NORDESTE DO BRASIL S/A;CE;Fortaleza;60743-902;2000-06-13 20:26:58;2019-06-07 20:05:05;362318
nordestedigital.gov.br;007.237.373/0001-20;BANCO DO NORDESTE DO BRASIL S/A;CE;Fortaleza;60743-902;2001-11-19 18:18:11;2019-06-07 20:06:41;663208
nordesteeletronico.gov.br;007.237.373/0001-20;BANCO DO NORDESTE DO BRASIL S/A;CE;Fortaleza;60743-902;2001-11-19 18:18:10;2019-06-07 20:06:59;663204
nordestenegocios.gov.br;007.237.373/0001-20;BANCO DO NORDESTE DO BRASIL S/A;CE;Fortaleza;60743-902;2001-11-19 18:18:09;2019-06-07 20:07:23;663199
bancodonordeste.gov.br;007.237.373/0016-06;BANCO DO NORDESTE DO BRASIL S/A;CE;Fortaleza;60743-902;2002-03-18 13:34:47;2019-06-07 20:00:04;756331
previc.gov.br;007.290.290/0001-02;PREVIC Sup. Nacional de Previdência Complementar;DF;Brasília;70716-900;2013-11-05 09:41:27;2019-08-07 19:48:10;12172583
cnj.gov.br;007.421.906/0001-29;Conselho Nacional de Justiça;DF;Brasília;70760-544;2005-04-20 14:56:08;2020-05-05 20:44:14;2111539
projovemurbano.gov.br;007.490.910/0001-49;Secretaria Nacional da Juventude;DF;Brasília;70200-002;2008-08-14 13:51:23;2020-05-05 20:44:14;4751512
snj.gov.br;007.490.910/0001-49;Secretaria Nacional da Juventude;DF;Brasília;70200-002;2018-05-17 13:17:51;2020-05-05 20:44:14;18326400
hemobras.gov.br;007.607.851/0001-46;Empresa Brasileira de Hemoderivados e Biotecnologi;PE;Recife;51021-410;2006-09-27 13:20:48;2016-03-31 21:39:10;3062780
coren-pb.gov.br;007.647.181/0001-91;CONSELHO REGIONAL DE ENFERMAGEM DA PARAIBA;PB;João Pessoa;58013-470;2009-07-03 20:01:26;2020-05-05 20:44:21;5724636
corenpb.gov.br;007.647.181/0001-91;CONSELHO REGIONAL DE ENFERMAGEM DA PARAIBA;PB;João Pessoa;58013-470;2009-06-30 13:50:17;2020-05-05 20:44:16;5654571
acs.gov.br;007.752.497/0001-43;ALCANTARA CYCLONE SPACE - BINACIONAL;DF;Brasília;70910-900;2007-12-03 16:12:20;2020-05-05 20:44:15;4108303
crbio-7.gov.br;007.863.214/0001-30;conselho regional de biologia da 7ª região;PR;Curitiba;80020-090;2009-05-15 16:07:48;2012-03-21 19:39:51;5558288
crbio-pr.gov.br;007.863.214/0001-30;conselho regional de biologia da 7ª região;PR;Curitiba;80020-090;2009-05-15 16:07:48;2012-03-21 19:42:13;5558310
crbio07.gov.br;007.863.214/0001-30;conselho regional de biologia da 7ª região;PR;Curitiba;80020-090;2012-08-28 13:46:01;2012-08-28 13:46:01;10335261
crbio7.gov.br;007.863.214/0001-30;conselho regional de biologia da 7ª região;PR;Curitiba;80020-090;2009-05-15 16:23:16;2012-03-21 19:42:50;5558339
crbiopr.gov.br;007.863.214/0001-30;conselho regional de biologia da 7ª região;PR;Curitiba;80020-090;2009-05-15 16:23:16;2012-03-21 19:42:59;5558323
crbio06.gov.br;007.934.511/0001-20;Conselho Regional de Biologia 6ª Região;AM;Manaus;69065-130;2010-01-26 13:24:20;2020-05-05 20:44:23;6457619
anac.gov.br;007.947.821/0001-89;Agência Nacional de Aviação Civil - ANAC;DF;Brasília;70308-200;2006-04-26 20:30:46;2020-04-22 17:17:36;2762327
ceara.gov.br;007.954.480/0001-79;Secretaria da Administração;CE;Fortaleza;60130-240;1995-08-21 12:00:00;2020-05-05 20:44:24;0
crefono8.gov.br;008.077.490/0001-36;Conselho Regional de Fonoaudiologia 8a Regiao;CE;Fortaleza;60170-000;2011-10-26 10:28:36;2020-05-05 20:44:23;8918873
rn.gov.br;008.241.788/0001-30;Governo do Estado do Rio Grande do Norte;RN;Natal;59064-901;1996-10-15 11:00:00;2019-08-23 01:45:57;18916
creci-rn.gov.br;008.303.182/0001-81;CONSELHO REG. DE CORRETORES DE IMÓVEIS RN;RN;Natal;59064-490;2017-02-23 14:31:01;2020-05-05 20:44:18;16651861
crecirn.gov.br;008.303.182/0001-81;CONSELHO REG. DE CORRETORES DE IMÓVEIS RN;RN;Natal;59064-490;2017-02-23 14:25:43;2020-05-05 20:44:15;16651852
coren-mt.gov.br;008.336.841/0001-86;CONSELHO REGIONAL DE ENFERMAGEM DE MATO GROSSO;MT;Cuiabá;78005-190;2002-05-10 15:55:47;2020-05-05 20:44:18;820407
rni.gov.br;008.469.280/0001-93;REDE NORTERIOGRANDESE DE INFORMATICA - RNI;RN;Natal;59078-970;1997-08-29 12:00:00;2003-02-25 21:40:53;54733
projud.gov.br;008.546.459/0001-05;TRIBUNAL DE JUSTIÇA DO ESTADO DO RN;RN;Natal;59025-300;2002-04-15 13:36:56;2012-12-27 11:25:47;788233
tjrn.gov.br;008.546.459/0001-05;TRIBUNAL DE JUSTIÇA DO ESTADO DO RN;RN;Natal;59025-300;1999-04-09 20:20:45;2019-10-08 18:41:39;147831
crmvrn.gov.br;008.693.822/0001-07;Conselho Regional de Medicina Veterinária do RN;RN;Natal;59030-050;2011-06-16 17:32:16;2018-06-22 11:17:52;8441671
biodiversidade.gov.br;008.829.974/0001-94;INSTITUTO CHICO MENDES DE CONS. DA BIODIVERSIDADE;DF;Brasília;70670-350;2011-01-06 18:04:02;2013-04-19 12:32:05;7708202
cemave.gov.br;008.829.974/0001-94;INSTITUTO CHICO MENDES DE CONS. DA BIODIVERSIDADE;DF;Brasília;70670-350;2013-04-18 18:37:54;2013-04-19 12:32:20;11330434
chicomendes.gov.br;008.829.974/0001-94;INSTITUTO CHICO MENDES DE CONS. DA BIODIVERSIDADE;DF;Brasília;70670-350;2011-04-29 14:47:46;2013-04-19 12:32:37;8208630
icmbio.gov.br;008.829.974/0001-94;INSTITUTO CHICO MENDES DE CONS. DA BIODIVERSIDADE;DF;Brasília;70670-350;2007-08-29 18:31:20;2013-04-19 12:32:12;3844230
institutochicomendes.gov.br;008.829.974/0001-94;INSTITUTO CHICO MENDES DE CONS. DA BIODIVERSIDADE;DF;Brasília;70670-350;2011-04-29 14:52:56;2013-04-19 12:32:25;8208640
pi.gov.br;008.839.135/0001-57;Agência de Tecnologia da Informação do Piauí ATI;PI;Teresina;64018-900;1997-04-16 12:00:00;2018-11-01 12:52:10;36663
portosempapel.gov.br;008.855.874/0001-32;SECRETARIA DE PORTOS DA PRESIDENCIA DA REPUBLICA;DF;Brasília;70714-900;2010-06-18 17:48:13;2020-05-05 20:44:06;6934554
agenciabrasil.gov.br;009.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;DF;Brasília;70333-900;2000-07-17 13:15:36;2009-04-01 12:46:01;369745
avozdobrasil.gov.br;009.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;DF;Brasília;70333-900;2016-01-18 13:07:22;2016-01-18 13:07:22;15079605
nbr.gov.br;009.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;DF;Brasília;70333-900;2016-02-26 17:09:19;2016-02-26 17:09:19;15186857
portalbrasil.gov.br;009.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;DF;Brasília;70333-900;2000-07-17 13:15:48;2020-05-27 20:30:26;370017
radiobras.gov.br;009.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;DF;Brasília;70333-900;1996-08-13 12:00:00;2019-12-27 12:54:50;13827
voz.gov.br;009.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;DF;Brasília;70333-900;2016-01-18 13:07:22;2016-01-18 13:07:22;15079583
vozdobrasil.gov.br;009.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;DF;Brasília;70333-900;2016-01-18 13:07:22;2016-01-18 13:07:22;15079616
pb.gov.br;009.189.499/0001-00;Companhia de Processamento de Dados da Paraiba;PB;João Pessoa;58010-400;1996-11-01 12:00:00;2019-01-22 21:36:39;0
comunicacaosocial.gov.br;009.234.494/0001-43;Secretaria de Comunicação Social;DF;Brasília;70054-906;2010-01-13 14:04:12;2020-05-05 20:44:18;6425018
genero.gov.br;009.234.494/0001-43;Secretaria de Comunicação Social;DF;Brasília;70054-906;2010-01-13 14:04:12;2020-05-05 20:44:24;6426222
portalpadrao.gov.br;009.234.494/0001-43;Secretaria de Comunicação Social;DF;Brasília;70054-906;2014-09-18 11:26:31;2020-05-05 20:44:21;13338190
portalplanalto.gov.br;009.234.494/0001-43;Secretaria de Comunicação Social;DF;Brasília;70054-906;2011-08-08 10:45:44;2020-05-05 20:44:13;8638146
secom.gov.br;009.234.494/0001-43;Secretaria de Comunicação Social;DF;Brasília;70054-906;2009-09-29 12:54:20;2020-05-05 20:44:24;6041433
creci-pb.gov.br;009.292.194/0001-10;Conselho Regional de Corretores de Imóveis 21ª Reg;PB;João Pessoa;58013-120;2002-10-01 20:16:49;2019-01-25 15:00:51;978225
gsi.gov.br;009.399.736/0001-59;GABINETE DE SEGURANCA INSTITUCIONAL DA PRESIDENCIA;DF;Brasília;70150-900;2010-05-10 12:53:36;2016-05-16 19:59:21;6837292
creci-ce.gov.br;009.420.282/0001-50;Conselho Regional de Corretores de Imoveis do CE;CE;Fortaleza;60150-120;2001-11-06 19:51:09;2018-06-11 13:06:28;660888
etfc.gov.br;009.544.546/0001-88;ESCOLA TÉCNICA FEDERAL DE CANOAS;RS;Canoas;92412-240;2008-06-18 19:37:03;2018-12-20 18:25:39;4562786
crqxx.gov.br;009.558.631/0001-03;CONSELHO REGIONAL DE QUIMICA 20 REGIAO;MS;Campo Grande;79002-401;2010-09-14 19:57:22;2020-05-05 20:44:10;7307573
fundaj.gov.br;009.773.169/0001-59;FUNDACAO JOAQUIM NABUCO;PE;Recife;52071-440;1995-06-30 12:00:00;2020-04-20 14:18:21;0
casamilitar.gov.br;010.366.249/0001-79;SECRETARIA-GERAL DA PRESIDENCIA DA REPÚBLICA;DF;Brasília;70150-900;2015-11-04 18:09:01;2015-11-04 18:09:01;14879374
dialogabrasil.gov.br;010.366.249/0001-79;SECRETARIA-GERAL DA PRESIDENCIA DA REPÚBLICA;DF;Brasília;70150-900;2015-08-03 15:22:25;2015-08-03 15:22:25;14494864
governo.gov.br;010.366.249/0001-79;SECRETARIA-GERAL DA PRESIDENCIA DA REPÚBLICA;DF;Brasília;70150-900;2016-02-17 12:37:44;2016-02-17 12:37:44;15186843
participa.gov.br;010.366.249/0001-79;SECRETARIA-GERAL DA PRESIDENCIA DA REPÚBLICA;DF;Brasília;70150-900;2013-10-16 18:38:59;2016-12-21 20:28:48;12086744
participe.gov.br;010.366.249/0001-79;SECRETARIA-GERAL DA PRESIDENCIA DA REPÚBLICA;DF;Brasília;70150-900;2013-10-16 18:38:59;2016-12-22 19:44:45;12089290
participo.gov.br;010.366.249/0001-79;SECRETARIA-GERAL DA PRESIDENCIA DA REPÚBLICA;DF;Brasília;70150-900;2013-10-16 18:38:59;2016-12-22 19:45:25;12089314
secgeral.gov.br;010.366.249/0001-79;SECRETARIA-GERAL DA PRESIDENCIA DA REPÚBLICA;DF;Brasília;70150-900;2010-01-13 14:04:12;2016-05-02 14:57:16;6426174
secretaria-geral.gov.br;010.366.249/0001-79;SECRETARIA-GERAL DA PRESIDENCIA DA REPÚBLICA;DF;Brasília;70150-900;2010-01-13 14:19:41;2016-05-02 14:58:06;6426178
secretariadegoverno.gov.br;010.366.249/0001-79;SECRETARIA-GERAL DA PRESIDENCIA DA REPÚBLICA;DF;Brasília;70150-900;2016-02-17 12:37:44;2016-02-17 12:37:44;15186834
